interaction_type,demixing
H-P,0.645688
H-P,0.752466
C-H,0.012514
C-H,0.184131
C-H,0.040059
C-H,0.262184
C-H,0.826727
C-H,0.597921
H-P,0.017014
H-P,0.25453
H-H,0.032447
H-H,0.217352
H-H,0.001535
H-H,0.009526
H-H,0.026454
H-H,0.007608
H-H,0.002064
H-H,0.075415
H-H,0.034053
C-H,0.014612
C-H,0.092861
C-H,0.073225
C-H,0.008766
C-H,0.000489
C-H,0.009469
C-H,0.027913
C-H,0.025918
C-H,0.005224
C-H,0.000475
C-H,0.010584
C-H,0.167484
C-H,0.276016
H-P,0.006405
H-P,0.0855
H-P,0.267686
H-P,0.368082
C-H,0.01393
C-H,0.145822
C-H,0.051508
C-H,0.322948
C-H,0.65039
C-H,0.074422
C-H,0.000962
H-P,0.046366
H-P,0.27188
H-H,0.027772
H-H,0.223724
H-H,0.000709
H-H,0.02051
C-H,0.003848
C-H,0.033511
C-H,0.021955
C-H,0.00653
C-H,0.000505
C-H,0.001752
C-H,0.022434
C-H,0.023886
C-H,0.005587
C-H,0.000699
C-H,0.004276
C-H,0.016838
C-H,0.059826
C-H,0.01703
H-P,0.001478
H-P,0.003688
C-H,0.00095
C-H,0.002584
C-H,0.068768
C-H,0.036982
C-H,0.020607
C-H,0.001526
H-H,0.033106
C-H,0.056587
C-H,0.01363
C-H,0.001577
C-H,0.065256
C-H,0.059144
C-H,0.020507
C-H,0.00389
H-P,0.021866
H-P,0.008651
H-P,0.014986
C-H,0.001134
C-H,0.00678
C-H,0.054407
C-H,0.053956
C-H,0.013838
C-H,0.001243
C-C,0.012053
C-C,0.068671
C-C,0.124006
C-C,0.098377
C-C,0.013526
C-C,0.018209
C-C,0.087929
C-C,0.085118
C-C,0.003756
C-C,0.006418
C-C,0.119911
C-C,0.122323
C-C,0.010852
C-H,0.050532
C-C,0.003038
C-C,0.008406
C-C,0.053491
C-C,0.052132
C-P,0.001579
C-P,0.01628
C-P,0.065754
C-P,0.066772
C-C,0.001203
C-C,0.035035
C-C,0.006395
C-C,0.048132
C-C,0.070122
C-C,0.067472
C-C,0.004936
C-P,0.058569
C-P,0.199633
C-H,0.036621
C-P,0.00771
C-P,0.005308
C-P,0.017222
C-C,0.000448
C-C,0.002096
C-C,0.016703
C-C,0.006313
C-C,0.003234
C-C,0.00091
C-C,0.01271
C-P,0.024707
C-H,0.031369
C-H,0.321939
C-H,0.739564
C-H,0.951157
C-H,0.189786
P-P,0.002615
P-P,0.031109
P-P,0.009531
C-P,0.264617
C-P,0.002586
C-P,0.023479
C-P,0.009241
C-P,0.562551
C-P,0.987704
C-P,0.951927
C-P,0.004597
C-P,0.040296
C-P,0.006135
C-P,0.678873
C-P,0.068851
C-P,0.446867
C-P,0.021839
C-P,0.561978
C-P,0.252068
C-P,0.006477
C-P,0.020206
C-P,0.008991
P-P,0.191049
P-P,0.961351
P-P,0.004404
P-P,0.021263
P-P,0.009499
H-P,0.076768
C-P,0.040423
C-P,0.148999
C-P,0.047225
C-P,0.132016
C-P,0.420004
C-P,0.120645
C-P,0.107143
C-P,0.215406
C-P,0.71636
C-P,0.285476
C-P,0.009812
C-P,0.016472
C-P,0.004708
C-P,0.047218
C-P,0.104007
C-P,0.587264
C-P,0.05454
P-P,0.008262
P-P,0.055022
P-P,0.115603
H-P,0.129595
C-P,0.330603
C-P,0.005344
C-P,0.012746
C-P,0.005273
C-P,0.331463
C-P,0.006705
C-P,0.100827
C-P,0.004263
C-P,0.386237
C-P,0.889007
C-P,0.146977
C-P,0.524117
C-P,0.014092
C-P,0.040832
C-P,0.00675
C-P,0.539472
C-P,0.122613
C-P,0.02898
C-P,0.045541
C-P,0.023118
P-P,0.006043
P-P,0.167902
H-H,0.007268
H-H,0.033509
H-H,0.0354
H-H,0.00776
H-H,0.071182
H-H,0.03087
C-H,0.455987
C-H,0.050833
C-H,0.831051
C-H,0.688738
C-H,0.845801
C-H,0.989265
C-H,0.149263
C-H,0.157063
C-H,0.557314
C-H,0.364626
C-H,0.905819
H-H,0.031092
H-H,0.244277
H-H,0.174783
C-H,0.095723
C-H,0.010068
C-H,0.173046
C-H,0.004713
C-H,0.076687
C-H,0.27792
H-P,0.01592
H-P,0.511668
C-H,0.256621
C-H,0.99076
C-H,0.277948
C-H,0.089923
C-H,0.359246
C-H,0.027527
C-H,0.005274
C-H,0.02963
C-H,0.004543
C-H,0.083244
C-H,0.385187
C-H,0.010786
C-H,0.299348
C-H,0.906996
C-H,0.465816
C-H,0.206286
C-H,0.972716
C-H,0.212758
C-H,0.112369
C-H,0.295854
C-H,0.012477
C-H,0.201915
C-H,0.719322
C-H,0.016287
C-C,0.050136
C-C,0.085374
C-C,0.065402
C-C,0.118993
C-C,0.247586
C-C,0.035307
C-C,0.033545
C-C,0.005411
C-C,0.085465
C-C,0.044428
C-C,0.013005
C-C,0.074627
C-C,0.014055
C-C,0.003272
C-C,0.02982
C-C,0.046859
C-P,0.238566
C-C,0.190575
C-C,0.542416
C-C,0.096342
C-C,0.028055
C-C,0.240872
C-C,0.224904
C-C,0.92827
C-C,0.411037
C-C,0.013357
C-C,0.030001
C-C,0.004021
C-C,0.148571
C-C,0.538928
C-C,0.181955
C-C,0.733677
C-C,0.107451
C-C,0.020332
C-C,0.305213
C-C,0.411338
C-C,0.492036
C-C,0.535537
C-C,0.470903
C-C,0.059346
C-C,0.385777
C-C,0.047376
C-C,0.298967
